ItemID,ItemCurrentValue,ItemTimeStamp
TIC002.CO,-49.6,2016-06-03 10:44:40
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-46.93333333,2016-06-03 10:44:39
TIC002.CO,-49.06666667,2016-06-03 10:44:41
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-46.4,2016-06-03 10:44:40
TIC002.CO,-48.53333333,2016-06-03 10:44:42
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-45.86666667,2016-06-03 10:44:42
TIC002.SP,-44.26666667,2016-06-03 10:44:42
TIC002.CO,-48,2016-06-03 10:44:43
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-45.33333333,2016-06-03 10:44:43
TIC002.SP,-43.73333333,2016-06-03 10:44:43
TIC002.CO,-47.46666667,2016-06-03 10:44:44
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-44.8,2016-06-03 10:44:44
TIC002.SP,-43.2,2016-06-03 10:44:44
TIC002.CO,-46.93333333,2016-06-03 10:44:45
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-44.26666667,2016-06-03 10:44:45
TIC002.SP,-42.66666667,2016-06-03 10:44:45
TIC002.CO,-46.4,2016-06-03 10:44:46
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-43.73333333,2016-06-03 10:44:46
TIC002.SP,-42.13333333,2016-06-03 10:44:46
TIC002.CO,-45.86666667,2016-06-03 10:44:47
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-43.2,2016-06-03 10:44:47
TIC002.SP,-41.6,2016-06-03 10:44:47
TIC002.CO,-45.33333333,2016-06-03 10:44:48
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-42.66666667,2016-06-03 10:44:48
TIC002.SP,-41.06666667,2016-06-03 10:44:48
TIC002.CO,-44.8,2016-06-03 10:44:49
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-42.13333333,2016-06-03 10:44:49
TIC002.SP,-40.53333333,2016-06-03 10:44:49
TIC002.CO,-44.26666667,2016-06-03 10:44:50
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-41.6,2016-06-03 10:44:50
TIC002.SP,-40,2016-06-03 10:44:50
TIC002.CO,-43.73333333,2016-06-03 10:44:51
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-41.06666667,2016-06-03 10:44:51
TIC002.SP,-39.46666667,2016-06-03 10:44:51
TIC002.CO,-43.2,2016-06-03 10:44:52
TIC002.D,0,2016-06-03 10:35:33
TIC002.F,0.026666667,2016-06-03 10:35:33
TIC002.I,0.106666667,2016-06-03 10:35:33
TIC002.Mode,0.533333333,2016-06-03 10:35:33
TIC002.P,5.333333333,2016-06-03 10:35:33
TIC002.PV,-40.53333333,2016-06-03 10:44:52
